Signal,Model,Chan,AUC,1e-2,1e-3,1e-4
chacha_cha300_neut140,Combined-OR-VAE_beta1_z21-Flow,2b,0.99,0.85,0.0,0.0
chacha_cha300_neut140,Combined-PROD-VAE_beta1_z21-Flow,2b,0.9,0.26,0.07,0.02
chacha_cha300_neut140,Combined-AVG-VAE_beta1_z21-Flow,2b,0.92,0.26,0.07,0.02
glgl1600_neutralino800,Combined-AND-VAE_beta1_z21-Flow,3,0.94,0.57,0.21,0.07
glgl1600_neutralino800,Combined-OR-VAE_beta1_z21-Flow,3,0.96,0.48,0.01,0.0
glgl1600_neutralino800,Combined-PROD-VAE_beta1_z21-Flow,3,0.95,0.6,0.21,0.05
glgl1600_neutralino800,Combined-AVG-VAE_beta1_z21-Flow,3,0.96,0.6,0.21,0.05
monojet_Zp2000.0_DM_50.0,Combined-AND-VAE_beta1_z21-Flow,3,0.88,0.27,0.1,0.07
monojet_Zp2000.0_DM_50.0,Combined-OR-VAE_beta1_z21-Flow,3,0.97,0.65,0.05,0.04
monojet_Zp2000.0_DM_50.0,Combined-PROD-VAE_beta1_z21-Flow,3,0.91,0.31,0.1,0.06
monojet_Zp2000.0_DM_50.0,Combined-AVG-VAE_beta1_z21-Flow,3,0.92,0.31,0.1,0.06
gluino_1000.0_neutralino_1.0,Combined-AND-VAE_beta1_z21-Flow,3,0.99,0.77,0.35,0.16
gluino_1000.0_neutralino_1.0,Combined-OR-VAE_beta1_z21-Flow,3,0.99,0.73,0.05,0.0
gluino_1000.0_neutralino_1.0,Combined-PROD-VAE_beta1_z21-Flow,3,0.99,0.81,0.37,0.13
gluino_1000.0_neutralino_1.0,Combined-AVG-VAE_beta1_z21-Flow,3,0.99,0.81,0.37,0.13
stop2b1000_neutralino300,Combined-AND-VAE_beta1_z21-Flow,3,0.96,0.55,0.21,0.08
stop2b1000_neutralino300,Combined-OR-VAE_beta1_z21-Flow,3,0.98,0.68,0.01,0.0
stop2b1000_neutralino300,Combined-PROD-VAE_beta1_z21-Flow,3,0.97,0.59,0.22,0.07
stop2b1000_neutralino300,Combined-AVG-VAE_beta1_z21-Flow,3,0.97,0.59,0.22,0.07
sqsq1_sq1400_neut800,Combined-AND-VAE_beta1_z21-Flow,3,0.88,0.29,0.08,0.03
sqsq1_sq1400_neut800,Combined-OR-VAE_beta1_z21-Flow,3,0.95,0.43,0.0,0.0
sqsq1_sq1400_neut800,Combined-PROD-VAE_beta1_z21-Flow,3,0.91,0.32,0.08,0.02
sqsq1_sq1400_neut800,Combined-AVG-VAE_beta1_z21-Flow,3,0.92,0.32,0.08,0.02
monotop_200_A,Combined-AND-VAE_beta1_z21-Flow,3,0.87,0.26,0.09,0.04
monotop_200_A,Combined-OR-VAE_beta1_z21-Flow,3,0.96,0.57,0.01,0.0
monotop_200_A,Combined-PROD-VAE_beta1_z21-Flow,3,0.9,0.29,0.09,0.03
monotop_200_A,Combined-AVG-VAE_beta1_z21-Flow,3,0.91,0.29,0.09,0.03
