Signal,Model,Chan,AUC,1e-2,1e-3,1e-4
stop2b1000_neutralino300,VAE-dynamic-beta0.8-z34_RL,1,0.82,0.03,0.0,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.8-z34_Radius,1,0.7,0.11,0.02,0.0
stop2b1000_neutralino300,VAE-static-beta0.999-z5_RL,1,0.74,0.04,0.01,0.0
stop2b1000_neutralino300,VAE-static-beta0.999-z5_Radius,1,0.84,0.12,0.03,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.999-z5_RL,1,0.71,0.11,0.02,0.01
stop2b1000_neutralino300,VAE-dynamic-beta0.999-z5_Radius,1,0.8,0.14,0.04,0.02
stop2b1000_neutralino300,VAE-static-beta0.999-z8_RL,1,0.68,0.04,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta0.999-z8_Radius,1,0.85,0.13,0.02,0.01
stop2b1000_neutralino300,VAE-dynamic-beta0.999-z8_RL,1,0.7,0.1,0.02,0.0
stop2b1000_neutralino300,VAE-dynamic-beta0.999-z8_Radius,1,0.85,0.17,0.05,0.02
stop2b1000_neutralino300,VAE-static-beta0.999-z13_RL,1,0.78,0.04,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta0.999-z13_Radius,1,0.89,0.16,0.03,0.01
stop2b1000_neutralino300,VAE-dynamic-beta0.999-z13_RL,1,0.7,0.1,0.02,0.01
stop2b1000_neutralino300,VAE-dynamic-beta0.999-z13_Radius,1,0.85,0.17,0.05,0.02
stop2b1000_neutralino300,VAE-static-beta0.999-z21_RL,1,0.78,0.05,0.0,0.0
stop2b1000_neutralino300,VAE-static-beta0.999-z21_Radius,1,0.87,0.15,0.03,0.01
stop2b1000_neutralino300,VAE-dynamic-beta0.999-z21_RL,1,0.7,0.1,0.02,0.01
stop2b1000_neutralino300,VAE-dynamic-beta0.999-z21_Radius,1,0.86,0.2,0.06,0.02
stop2b1000_neutralino300,VAE-static-beta0.999-z34_RL,1,0.71,0.04,0.01,0.0
stop2b1000_neutralino300,VAE-static-beta0.999-z34_Radius,1,0.88,0.16,0.04,0.01
stop2b1000_neutralino300,VAE-dynamic-beta0.999-z34_RL,1,0.7,0.11,0.02,0.01
stop2b1000_neutralino300,VAE-dynamic-beta0.999-z34_Radius,1,0.87,0.18,0.07,0.02
stop2b1000_neutralino300,VAE-static-beta1-z5_RL,1,0.81,0.12,0.03,0.01
stop2b1000_neutralino300,VAE-static-beta1-z5_Radius,1,0.85,0.13,0.03,0.01
stop2b1000_neutralino300,VAE-dynamic-beta1-z5_RL,1,0.78,0.1,0.02,0.01
stop2b1000_neutralino300,VAE-dynamic-beta1-z5_Radius,1,0.78,0.15,0.04,0.02
stop2b1000_neutralino300,VAE-static-beta1-z8_RL,1,0.8,0.13,0.03,0.01
stop2b1000_neutralino300,VAE-static-beta1-z8_Radius,1,0.87,0.15,0.03,0.01
stop2b1000_neutralino300,VAE-dynamic-beta1-z8_RL,1,0.78,0.1,0.02,0.01
stop2b1000_neutralino300,VAE-dynamic-beta1-z8_Radius,1,0.83,0.16,0.05,0.02
stop2b1000_neutralino300,VAE-static-beta1-z13_RL,1,0.81,0.12,0.03,0.01
