Signal,Model,Chan,AUC,1e-2,1e-3,1e-4
pp23mt_50,DeepSVDD_C3_d377,2a,0.54,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C4_d5,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C4_d8,2a,0.61,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C4_d13,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C4_d21,2a,0.6,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C4_d34,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C4_d55,2a,0.57,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C4_d89,2a,0.56,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C4_d144,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C4_d233,2a,0.56,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C4_d377,2a,0.54,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C10_d5,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C10_d8,2a,0.61,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C10_d13,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C10_d21,2a,0.6,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C10_d34,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C10_d55,2a,0.57,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C10_d89,2a,0.56,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C10_d144,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C10_d233,2a,0.56,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C10_d377,2a,0.54,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C25_d5,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C25_d8,2a,0.61,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C25_d13,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C25_d21,2a,0.6,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C25_d34,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C25_d55,2a,0.57,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C25_d89,2a,0.56,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C25_d144,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C25_d233,2a,0.56,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C25_d377,2a,0.54,0.01,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_Reduced_d5,2a,0.64,0.08,0.02,0.0
chaneut_cha300_neut100,DeepSVDD_Reduced_d8,2a,0.61,0.06,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_Reduced_d13,2a,0.63,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_Reduced_d21,2a,0.62,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_Reduced_d34,2a,0.62,0.08,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_Reduced_d55,2a,0.61,0.08,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_Reduced_d89,2a,0.62,0.09,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_Reduced_d144,2a,0.61,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_Reduced_d233,2a,0.61,0.09,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_Reduced_d377,2a,0.63,0.1,0.02,0.0
chaneut_cha300_neut100,DeepSVDD_C0_d5,2a,0.64,0.08,0.02,0.0
chaneut_cha300_neut100,DeepSVDD_C0_d8,2a,0.61,0.06,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C0_d13,2a,0.63,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C0_d21,2a,0.62,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C0_d34,2a,0.62,0.08,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C0_d55,2a,0.61,0.08,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C0_d89,2a,0.62,0.09,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C0_d144,2a,0.61,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C0_d233,2a,0.61,0.09,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C0_d377,2a,0.63,0.1,0.02,0.0
chaneut_cha300_neut100,DeepSVDD_C1_d5,2a,0.64,0.08,0.02,0.0
chaneut_cha300_neut100,DeepSVDD_C1_d8,2a,0.61,0.06,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C1_d13,2a,0.63,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C1_d21,2a,0.62,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C1_d34,2a,0.62,0.08,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C1_d55,2a,0.61,0.08,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C1_d89,2a,0.62,0.09,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C1_d144,2a,0.61,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C1_d233,2a,0.61,0.09,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C1_d377,2a,0.63,0.1,0.02,0.0
chaneut_cha300_neut100,DeepSVDD_C2_d5,2a,0.64,0.08,0.02,0.0
chaneut_cha300_neut100,DeepSVDD_C2_d8,2a,0.61,0.06,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C2_d13,2a,0.63,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C2_d21,2a,0.62,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C2_d34,2a,0.62,0.08,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C2_d55,2a,0.61,0.08,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C2_d89,2a,0.62,0.09,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C2_d144,2a,0.61,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C2_d233,2a,0.61,0.09,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C2_d377,2a,0.63,0.1,0.02,0.0
chaneut_cha300_neut100,DeepSVDD_C3_d5,2a,0.64,0.08,0.02,0.0
chaneut_cha300_neut100,DeepSVDD_C3_d8,2a,0.61,0.06,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C3_d13,2a,0.63,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C3_d21,2a,0.62,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C3_d34,2a,0.62,0.08,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C3_d55,2a,0.61,0.08,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C3_d89,2a,0.62,0.09,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C3_d144,2a,0.61,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C3_d233,2a,0.61,0.09,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C3_d377,2a,0.63,0.1,0.02,0.0
chaneut_cha300_neut100,DeepSVDD_C4_d5,2a,0.64,0.08,0.02,0.0
chaneut_cha300_neut100,DeepSVDD_C4_d8,2a,0.61,0.06,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C4_d13,2a,0.63,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C4_d21,2a,0.62,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C4_d34,2a,0.62,0.08,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C4_d55,2a,0.61,0.08,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C4_d89,2a,0.62,0.09,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C4_d144,2a,0.61,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C4_d233,2a,0.61,0.09,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C4_d377,2a,0.63,0.1,0.02,0.0
chaneut_cha300_neut100,DeepSVDD_C10_d5,2a,0.64,0.08,0.02,0.0
chaneut_cha300_neut100,DeepSVDD_C10_d8,2a,0.61,0.06,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C10_d13,2a,0.63,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C10_d21,2a,0.62,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C10_d34,2a,0.62,0.08,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C10_d55,2a,0.61,0.08,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C10_d89,2a,0.62,0.09,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C10_d144,2a,0.61,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C10_d233,2a,0.61,0.09,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C10_d377,2a,0.63,0.1,0.02,0.0
chaneut_cha300_neut100,DeepSVDD_C25_d5,2a,0.64,0.08,0.02,0.0
chaneut_cha300_neut100,DeepSVDD_C25_d8,2a,0.61,0.06,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C25_d13,2a,0.63,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C25_d21,2a,0.62,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C25_d34,2a,0.62,0.08,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C25_d55,2a,0.61,0.08,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C25_d89,2a,0.62,0.09,0.01,0.0
chaneut_cha300_neut100,DeepSVDD_C25_d144,2a,0.61,0.07,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C25_d233,2a,0.61,0.09,0.0,0.0
chaneut_cha300_neut100,DeepSVDD_C25_d377,2a,0.63,0.1,0.02,0.0
chaneut_cha250_neut150,DeepSVDD_Reduced_d5,2a,0.48,0.01,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_Reduced_d8,2a,0.45,0.0,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_Reduced_d13,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_Reduced_d21,2a,0.46,0.01,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_Reduced_d34,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_Reduced_d55,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_Reduced_d89,2a,0.47,0.03,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_Reduced_d144,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_Reduced_d233,2a,0.47,0.03,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_Reduced_d377,2a,0.47,0.03,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C0_d5,2a,0.48,0.01,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C0_d8,2a,0.45,0.0,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C0_d13,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C0_d21,2a,0.46,0.01,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C0_d34,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C0_d55,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C0_d89,2a,0.47,0.03,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C0_d144,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C0_d233,2a,0.47,0.03,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C0_d377,2a,0.47,0.03,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C1_d5,2a,0.48,0.01,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C1_d8,2a,0.45,0.0,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C1_d13,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C1_d21,2a,0.46,0.01,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C1_d34,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C1_d55,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C1_d89,2a,0.47,0.03,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C1_d144,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C1_d233,2a,0.47,0.03,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C1_d377,2a,0.47,0.03,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C2_d5,2a,0.48,0.01,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C2_d8,2a,0.45,0.0,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C2_d13,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C2_d21,2a,0.46,0.01,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C2_d34,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C2_d55,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C2_d89,2a,0.47,0.03,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C2_d144,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C2_d233,2a,0.47,0.03,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C2_d377,2a,0.47,0.03,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C3_d5,2a,0.48,0.01,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C3_d8,2a,0.45,0.0,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C3_d13,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C3_d21,2a,0.46,0.01,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C3_d34,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C3_d55,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C3_d89,2a,0.47,0.03,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C3_d144,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C3_d233,2a,0.47,0.03,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C3_d377,2a,0.47,0.03,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C4_d5,2a,0.48,0.01,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C4_d8,2a,0.45,0.0,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C4_d13,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C4_d21,2a,0.46,0.01,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C4_d34,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C4_d55,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C4_d89,2a,0.47,0.03,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C4_d144,2a,0.46,0.02,0.0,0.0
chaneut_cha250_neut150,DeepSVDD_C4_d233,2a,0.47,0.03,0.0,0.0
